"year","mbbs_county","route","route_num","count"
2003,"durham",24,4,2
2004,"durham",24,4,3
2005,"durham",24,4,3
2006,"durham",24,4,0
2007,"durham",24,4,3
2008,"durham",24,4,5
2009,"durham",24,4,6
2011,"durham",24,4,4
2012,"durham",24,4,9
2013,"durham",24,4,4
2014,"durham",24,4,0
2018,"durham",24,4,10
2019,"durham",24,4,1
2020,"durham",24,4,4
2021,"durham",24,4,1
2022,"durham",24,4,4
2023,"durham",24,4,3
2002,"durham",25,5,9
2003,"durham",25,5,5
2004,"durham",25,5,7
2005,"durham",25,5,6
2006,"durham",25,5,6
2007,"durham",25,5,9
2008,"durham",25,5,14
2009,"durham",25,5,9
2010,"durham",25,5,7
2011,"durham",25,5,11
2012,"durham",25,5,7
2013,"durham",25,5,10
2014,"durham",25,5,9
2015,"durham",25,5,12
2016,"durham",25,5,10
2017,"durham",25,5,11
2018,"durham",25,5,7
2019,"durham",25,5,9
2020,"durham",25,5,10
2021,"durham",25,5,3
2022,"durham",25,5,9
2023,"durham",25,5,2
2002,"durham",26,6,1
2003,"durham",26,6,4
2004,"durham",26,6,1
2005,"durham",26,6,3
2006,"durham",26,6,4
2007,"durham",26,6,0
2008,"durham",26,6,5
2009,"durham",26,6,1
2010,"durham",26,6,4
2011,"durham",26,6,6
2012,"durham",26,6,1
2013,"durham",26,6,1
2014,"durham",26,6,2
2015,"durham",26,6,4
2016,"durham",26,6,2
2017,"durham",26,6,2
2018,"durham",26,6,5
2019,"durham",26,6,5
2020,"durham",26,6,3
2021,"durham",26,6,3
2022,"durham",26,6,3
2023,"durham",26,6,0
2002,"durham",27,7,6
2003,"durham",27,7,3
2004,"durham",27,7,3
2005,"durham",27,7,4
2006,"durham",27,7,1
2007,"durham",27,7,4
2008,"durham",27,7,3
2009,"durham",27,7,5
2010,"durham",27,7,3
2011,"durham",27,7,1
2012,"durham",27,7,2
2013,"durham",27,7,4
2015,"durham",27,7,4
2016,"durham",27,7,3
2017,"durham",27,7,2
2018,"durham",27,7,5
2019,"durham",27,7,2
2020,"durham",27,7,5
2021,"durham",27,7,1
2022,"durham",27,7,4
2023,"durham",27,7,2
2002,"durham",28,8,5
2003,"durham",28,8,4
2004,"durham",28,8,4
2005,"durham",28,8,2
2006,"durham",28,8,1
2007,"durham",28,8,1
2008,"durham",28,8,2
2011,"durham",28,8,3
2012,"durham",28,8,4
2013,"durham",28,8,5
2014,"durham",28,8,13
2015,"durham",28,8,7
2016,"durham",28,8,12
2017,"durham",28,8,13
2018,"durham",28,8,4
2019,"durham",28,8,5
2020,"durham",28,8,1
2021,"durham",28,8,5
2022,"durham",28,8,10
2023,"durham",28,8,6
2000,"chatham",41,1,6
2001,"chatham",41,1,9
2002,"chatham",41,1,11
2003,"chatham",41,1,11
2004,"chatham",41,1,6
2005,"chatham",41,1,13
2006,"chatham",41,1,12
2007,"chatham",41,1,13
2008,"chatham",41,1,9
2009,"chatham",41,1,4
2010,"chatham",41,1,2
2011,"chatham",41,1,10
2012,"chatham",41,1,24
2013,"chatham",41,1,14
2014,"chatham",41,1,14
2015,"chatham",41,1,12
2016,"chatham",41,1,8
2017,"chatham",41,1,10
2018,"chatham",41,1,8
2019,"chatham",41,1,8
2020,"chatham",41,1,5
2021,"chatham",41,1,7
2022,"chatham",41,1,6
2023,"chatham",41,1,3
2000,"chatham",42,2,6
2001,"chatham",42,2,7
2002,"chatham",42,2,13
2003,"chatham",42,2,8
2004,"chatham",42,2,6
2005,"chatham",42,2,5
2006,"chatham",42,2,0
2007,"chatham",42,2,6
2008,"chatham",42,2,7
2009,"chatham",42,2,3
2010,"chatham",42,2,8
2011,"chatham",42,2,7
2012,"chatham",42,2,16
2013,"chatham",42,2,5
2014,"chatham",42,2,9
2015,"chatham",42,2,9
2016,"chatham",42,2,6
2017,"chatham",42,2,5
2018,"chatham",42,2,11
2019,"chatham",42,2,16
2020,"chatham",42,2,10
2021,"chatham",42,2,8
2022,"chatham",42,2,4
2023,"chatham",42,2,2
2000,"chatham",43,3,3
2001,"chatham",43,3,2
2002,"chatham",43,3,6
2003,"chatham",43,3,3
2004,"chatham",43,3,7
2005,"chatham",43,3,7
2006,"chatham",43,3,3
2007,"chatham",43,3,6
2008,"chatham",43,3,5
2009,"chatham",43,3,2
2010,"chatham",43,3,4
2011,"chatham",43,3,7
2012,"chatham",43,3,8
2013,"chatham",43,3,9
2014,"chatham",43,3,12
2015,"chatham",43,3,8
2016,"chatham",43,3,10
2017,"chatham",43,3,4
2018,"chatham",43,3,5
2019,"chatham",43,3,2
2020,"chatham",43,3,5
2021,"chatham",43,3,0
2022,"chatham",43,3,6
2023,"chatham",43,3,1
2000,"chatham",44,4,3
2001,"chatham",44,4,4
2002,"chatham",44,4,3
2003,"chatham",44,4,4
2004,"chatham",44,4,3
2005,"chatham",44,4,1
2006,"chatham",44,4,2
2007,"chatham",44,4,4
2008,"chatham",44,4,7
2009,"chatham",44,4,7
2010,"chatham",44,4,6
2011,"chatham",44,4,6
2012,"chatham",44,4,3
2013,"chatham",44,4,2
2014,"chatham",44,4,6
2015,"chatham",44,4,6
2016,"chatham",44,4,7
2017,"chatham",44,4,2
2018,"chatham",44,4,3
2019,"chatham",44,4,2
2020,"chatham",44,4,7
2021,"chatham",44,4,2
2022,"chatham",44,4,2
2023,"chatham",44,4,1
2000,"chatham",45,5,3
2001,"chatham",45,5,7
2002,"chatham",45,5,9
2003,"chatham",45,5,7
2004,"chatham",45,5,9
2005,"chatham",45,5,7
2006,"chatham",45,5,10
2007,"chatham",45,5,12
2008,"chatham",45,5,6
2009,"chatham",45,5,12
2010,"chatham",45,5,13
2011,"chatham",45,5,23
2012,"chatham",45,5,18
2013,"chatham",45,5,9
2014,"chatham",45,5,17
2015,"chatham",45,5,10
2016,"chatham",45,5,10
2017,"chatham",45,5,10
2018,"chatham",45,5,19
2019,"chatham",45,5,11
2020,"chatham",45,5,3
2021,"chatham",45,5,7
2022,"chatham",45,5,7
2023,"chatham",45,5,13
2000,"chatham",46,6,6
2001,"chatham",46,6,6
2002,"chatham",46,6,4
2003,"chatham",46,6,0
2004,"chatham",46,6,0
2005,"chatham",46,6,7
2006,"chatham",46,6,3
2007,"chatham",46,6,6
2008,"chatham",46,6,3
2009,"chatham",46,6,3
2010,"chatham",46,6,6
2018,"chatham",46,6,13
2019,"chatham",46,6,10
2020,"chatham",46,6,13
2021,"chatham",46,6,10
2022,"chatham",46,6,12
2023,"chatham",46,6,9
2000,"chatham",47,7,11
2001,"chatham",47,7,9
2002,"chatham",47,7,12
2003,"chatham",47,7,8
2004,"chatham",47,7,9
2005,"chatham",47,7,7
2006,"chatham",47,7,3
2007,"chatham",47,7,6
2008,"chatham",47,7,10
2009,"chatham",47,7,11
2010,"chatham",47,7,2
2011,"chatham",47,7,10
2012,"chatham",47,7,16
2013,"chatham",47,7,8
2014,"chatham",47,7,14
2015,"chatham",47,7,8
2016,"chatham",47,7,14
2017,"chatham",47,7,8
2018,"chatham",47,7,17
2019,"chatham",47,7,9
2020,"chatham",47,7,6
2021,"chatham",47,7,8
2022,"chatham",47,7,7
2023,"chatham",47,7,13
2000,"chatham",48,8,6
2001,"chatham",48,8,13
2002,"chatham",48,8,5
2003,"chatham",48,8,7
2004,"chatham",48,8,10
2005,"chatham",48,8,4
2006,"chatham",48,8,10
2007,"chatham",48,8,8
2008,"chatham",48,8,3
2009,"chatham",48,8,8
2010,"chatham",48,8,5
2011,"chatham",48,8,5
2012,"chatham",48,8,9
2013,"chatham",48,8,9
2014,"chatham",48,8,5
2015,"chatham",48,8,6
2016,"chatham",48,8,3
2017,"chatham",48,8,5
2019,"chatham",48,8,5
2020,"chatham",48,8,8
2021,"chatham",48,8,4
2022,"chatham",48,8,11
2023,"chatham",48,8,7
2000,"chatham",49,9,9
2001,"chatham",49,9,6
2002,"chatham",49,9,15
2003,"chatham",49,9,12
2005,"chatham",49,9,12
2006,"chatham",49,9,4
2007,"chatham",49,9,4
2008,"chatham",49,9,10
2009,"chatham",49,9,10
2010,"chatham",49,9,13
2011,"chatham",49,9,11
2012,"chatham",49,9,7
2013,"chatham",49,9,5
2014,"chatham",49,9,6
2015,"chatham",49,9,3
2016,"chatham",49,9,5
2017,"chatham",49,9,6
2018,"chatham",49,9,11
2019,"chatham",49,9,2
2020,"chatham",49,9,7
2021,"chatham",49,9,3
2022,"chatham",49,9,9
2023,"chatham",49,9,7
2000,"chatham",50,10,0
2001,"chatham",50,10,1
2002,"chatham",50,10,11
2003,"chatham",50,10,3
2004,"chatham",50,10,6
2005,"chatham",50,10,6
2006,"chatham",50,10,5
2007,"chatham",50,10,5
2008,"chatham",50,10,5
2009,"chatham",50,10,1
2010,"chatham",50,10,3
2011,"chatham",50,10,6
2012,"chatham",50,10,10
2013,"chatham",50,10,13
2015,"chatham",50,10,6
2016,"chatham",50,10,5
2017,"chatham",50,10,10
2018,"chatham",50,10,11
2019,"chatham",50,10,0
2020,"chatham",50,10,4
2021,"chatham",50,10,3
2022,"chatham",50,10,3
2023,"chatham",50,10,6
2000,"chatham",51,11,3
2001,"chatham",51,11,4
2002,"chatham",51,11,4
2003,"chatham",51,11,4
2005,"chatham",51,11,3
2006,"chatham",51,11,12
2007,"chatham",51,11,7
2008,"chatham",51,11,8
2009,"chatham",51,11,7
2010,"chatham",51,11,5
2011,"chatham",51,11,11
2012,"chatham",51,11,7
2013,"chatham",51,11,4
2016,"chatham",51,11,1
2020,"chatham",51,11,4
2022,"chatham",51,11,10
2023,"chatham",51,11,6
2000,"chatham",52,12,7
2001,"chatham",52,12,9
2002,"chatham",52,12,13
2003,"chatham",52,12,6
2004,"chatham",52,12,7
2005,"chatham",52,12,10
2006,"chatham",52,12,8
2007,"chatham",52,12,11
2008,"chatham",52,12,7
2009,"chatham",52,12,5
2017,"chatham",52,12,7
2019,"chatham",52,12,3
2020,"chatham",52,12,12
2021,"chatham",52,12,3
2022,"chatham",52,12,7
2023,"chatham",52,12,5
2000,"chatham",53,13,4
2001,"chatham",53,13,0
