"year","county","route","route_num","count"
2021,"orange","orng-12",12,1
2022,"orange","orng-12",12,4
2023,"orange","orng-12",12,2
2024,"orange","orng-12",12,6
2025,"orange","orng-12",12,7
2000,"chatham","cthm-01",1,27
2001,"chatham","cthm-01",1,21
2002,"chatham","cthm-01",1,44
2003,"chatham","cthm-01",1,24
2004,"chatham","cthm-01",1,18
2005,"chatham","cthm-01",1,23
2006,"chatham","cthm-01",1,47
2007,"chatham","cthm-01",1,24
2008,"chatham","cthm-01",1,35
2009,"chatham","cthm-01",1,7
2010,"chatham","cthm-01",1,20
2011,"chatham","cthm-01",1,19
2012,"chatham","cthm-01",1,61
2013,"chatham","cthm-01",1,29
2014,"chatham","cthm-01",1,28
2015,"chatham","cthm-01",1,30
2016,"chatham","cthm-01",1,28
2017,"chatham","cthm-01",1,34
2018,"chatham","cthm-01",1,23
2019,"chatham","cthm-01",1,20
2020,"chatham","cthm-01",1,19
2021,"chatham","cthm-01",1,14
2022,"chatham","cthm-01",1,22
2023,"chatham","cthm-01",1,13
2024,"chatham","cthm-01",1,14
2025,"chatham","cthm-01",1,15
2000,"chatham","cthm-02",2,16
2001,"chatham","cthm-02",2,49
2002,"chatham","cthm-02",2,16
2003,"chatham","cthm-02",2,11
2004,"chatham","cthm-02",2,14
2005,"chatham","cthm-02",2,15
2006,"chatham","cthm-02",2,19
2007,"chatham","cthm-02",2,34
2008,"chatham","cthm-02",2,35
2009,"chatham","cthm-02",2,21
2010,"chatham","cthm-02",2,20
2011,"chatham","cthm-02",2,13
2012,"chatham","cthm-02",2,21
2013,"chatham","cthm-02",2,18
2014,"chatham","cthm-02",2,23
2015,"chatham","cthm-02",2,22
2016,"chatham","cthm-02",2,21
2017,"chatham","cthm-02",2,20
2018,"chatham","cthm-02",2,15
2019,"chatham","cthm-02",2,14
2020,"chatham","cthm-02",2,11
2021,"chatham","cthm-02",2,19
2022,"chatham","cthm-02",2,23
2023,"chatham","cthm-02",2,16
2024,"chatham","cthm-02",2,14
2025,"chatham","cthm-02",2,9
2000,"chatham","cthm-03",3,16
2001,"chatham","cthm-03",3,12
2002,"chatham","cthm-03",3,10
2003,"chatham","cthm-03",3,18
2004,"chatham","cthm-03",3,11
2005,"chatham","cthm-03",3,16
2006,"chatham","cthm-03",3,11
2007,"chatham","cthm-03",3,8
2008,"chatham","cthm-03",3,6
2009,"chatham","cthm-03",3,5
2010,"chatham","cthm-03",3,13
2011,"chatham","cthm-03",3,10
2012,"chatham","cthm-03",3,11
2013,"chatham","cthm-03",3,12
2014,"chatham","cthm-03",3,20
2015,"chatham","cthm-03",3,6
2016,"chatham","cthm-03",3,7
2017,"chatham","cthm-03",3,6
2018,"chatham","cthm-03",3,12
2019,"chatham","cthm-03",3,0
2020,"chatham","cthm-03",3,12
2021,"chatham","cthm-03",3,6
2022,"chatham","cthm-03",3,5
2023,"chatham","cthm-03",3,6
2024,"chatham","cthm-03",3,1
2025,"chatham","cthm-03",3,0
2000,"chatham","cthm-04",4,30
2001,"chatham","cthm-04",4,33
2002,"chatham","cthm-04",4,25
2003,"chatham","cthm-04",4,33
