"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2003,2003-06-29,"chatham",45,5,33465,17,40,4
2003,2003-06-29,"chatham",53,13,33465,0,NA,4
2003,2003-06-30,"orange",7,6,33465,0,NA,4
2003,2003-07-06,"chatham",46,6,33465,4,40,4
2004,2004-05-22,"orange",8,7,33465,2,1,5
2004,2004-05-23,"chatham",42,2,33465,3,40,5
2004,2004-05-23,"orange",4,3,33465,6,1,5
2004,2004-05-23,"orange",13,12,33465,3,1,5
2004,2004-05-28,"orange",3,2,33465,3,1,5
2004,2004-05-29,"orange",6,5,33465,9,1,5
2004,2004-05-31,"chatham",43,3,33465,7,40,5
2004,2004-05-31,"chatham",54,14,33465,4,40,5
2004,2004-05-31,"durham",25,5,33465,0,NA,5
2004,2004-05-31,"orange",11,10,33465,5,1,5
2004,2004-06-02,"orange",9,8,33465,0,NA,5
2004,2004-06-06,"chatham",45,5,33465,8,40,5
2004,2004-06-06,"durham",22,2,33465,0,NA,5
2004,2004-06-06,"durham",26,6,33465,0,NA,5
2004,2004-06-06,"orange",2,1,33465,6,1,5
2004,2004-06-06,"orange",5,4,33465,2,1,5
2004,2004-06-06,"orange",7,6,33465,1,1,5
2004,2004-06-06,"orange",12,11,33465,0,NA,5
2004,2004-06-10,"durham",24,4,33465,0,NA,5
2004,2004-06-11,"durham",28,8,33465,0,NA,5
2004,2004-06-13,"chatham",41,1,33465,0,NA,5
2004,2004-06-13,"chatham",44,4,33465,2,40,5
2004,2004-06-13,"chatham",50,10,33465,4,40,5
2004,2004-06-13,"chatham",52,12,33465,4,40,5
2004,2004-06-13,"durham",21,1,33465,2,20,5
2004,2004-06-15,"durham",27,7,33465,2,20,5
2004,2004-06-19,"chatham",47,7,33465,5,40,5
2004,2004-06-20,"chatham",46,6,33465,1,40,5
2004,2004-06-20,"durham",23,3,33465,0,NA,5
2004,2004-06-24,"orange",10,9,33465,3,1,5
2004,2004-06-27,"chatham",48,8,33465,1,40,5
2004,2004-06-27,"chatham",53,13,33465,0,NA,5
2005,2005-05-08,"orange",3,2,33465,0,NA,6
