"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2005,2005-06-19,"chatham",50,10,26890,4,40,6
2005,2005-06-19,"durham",21,1,26890,0,NA,6
2005,2005-06-19,"durham",26,6,26890,5,20,6
2005,2005-06-21,"orange",7,6,26890,0,NA,6
2005,2005-06-23,"orange",4,3,26890,6,1,6
2005,2005-06-25,"durham",28,8,26890,13,20,6
2005,2005-06-26,"chatham",45,5,26890,0,NA,6
2005,2005-06-26,"chatham",48,8,26890,0,NA,6
2005,2005-06-26,"durham",23,3,26890,4,20,6
2005,2005-06-26,"orange",12,11,26890,6,1,6
2005,2005-07-09,"chatham",47,7,26890,0,NA,6
2006,2006-05-17,"chatham",51,11,26890,1,40,7
2006,2006-05-21,"chatham",54,14,26890,4,40,7
2006,2006-05-21,"orange",8,7,26890,9,1,7
2006,2006-05-21,"orange",9,8,26890,0,NA,7
2006,2006-05-21,"orange",13,12,26890,4,1,7
2006,2006-05-27,"orange",5,4,26890,1,1,7
2006,2006-05-28,"durham",23,3,26890,10,20,7
2006,2006-05-28,"orange",3,2,26890,20,1,7
2006,2006-05-28,"orange",7,6,26890,0,NA,7
2006,2006-06-10,"chatham",45,5,26890,19,40,7
2006,2006-06-10,"orange",2,1,26890,8,1,7
2006,2006-06-11,"chatham",46,6,26890,3,40,7
2006,2006-06-13,"chatham",42,2,26890,0,NA,7
2006,2006-06-15,"durham",27,7,26890,5,20,7
2006,2006-06-16,"orange",10,9,26890,0,NA,7
2006,2006-06-17,"durham",21,1,26890,3,20,7
2006,2006-06-17,"durham",22,2,26890,0,NA,7
2006,2006-06-17,"durham",24,4,26890,0,NA,7
2006,2006-06-17,"durham",25,5,26890,0,NA,7
2006,2006-06-17,"durham",28,8,26890,4,20,7
2006,2006-06-18,"chatham",41,1,26890,10,40,7
2006,2006-06-18,"chatham",43,3,26890,2,40,7
2006,2006-06-18,"chatham",44,4,26890,4,40,7
2006,2006-06-18,"chatham",48,8,26890,0,NA,7
2006,2006-06-18,"chatham",52,12,26890,1,40,7
2006,2006-06-18,"durham",26,6,26890,3,20,7
2006,2006-06-18,"orange",11,10,26890,2,1,7
2006,2006-06-23,"orange",4,3,26890,29,1,7
2006,2006-06-24,"chatham",47,7,26890,0,NA,7
2006,2006-06-24,"chatham",49,9,26890,1,40,7
2006,2006-06-24,"chatham",50,10,26890,0,NA,7
2006,2006-06-24,"chatham",53,13,26890,0,NA,7
2006,2006-06-24,"orange",6,5,26890,15,1,7
2006,2006-06-26,"orange",12,11,26890,0,NA,7
2007,2007-05-20,"chatham",42,2,26890,0,NA,8
2007,2007-05-20,"orange",9,8,26890,0,NA,8
2007,2007-05-21,"orange",8,7,26890,0,NA,8
2007,2007-05-24,"chatham",51,11,26890,0,NA,8
2007,2007-05-26,"orange",2,1,26890,17,1,8
2007,2007-05-27,"durham",23,3,26890,15,20,8
2007,2007-05-27,"orange",3,2,26890,10,1,8
2007,2007-05-27,"orange",7,6,26890,4,1,8
2007,2007-05-28,"chatham",44,4,26890,3,40,8
2007,2007-05-28,"durham",22,2,26890,18,20,8
2007,2007-05-28,"orange",5,4,26890,11,1,8
2007,2007-06-07,"durham",24,4,26890,2,20,8
2007,2007-06-10,"chatham",54,14,26890,4,40,8
2007,2007-06-10,"orange",11,10,26890,4,1,8
2007,2007-06-10,"orange",13,12,26890,8,1,8
2007,2007-06-16,"orange",12,11,26890,0,NA,8
2007,2007-06-17,"chatham",41,1,26890,6,40,8
2007,2007-06-17,"chatham",43,3,26890,0,NA,8
2007,2007-06-17,"chatham",46,6,26890,7,40,8
2007,2007-06-17,"chatham",48,8,26890,0,NA,8
2007,2007-06-17,"chatham",52,12,26890,2,40,8
2007,2007-06-17,"orange",4,3,26890,4,1,8
2007,2007-06-17,"orange",6,5,26890,1,1,8
2007,2007-06-22,"durham",27,7,26890,0,NA,8
2007,2007-06-23,"chatham",47,7,26890,0,NA,8
2007,2007-06-24,"chatham",45,5,26890,42,40,8
2007,2007-06-24,"chatham",49,9,26890,0,NA,8
2007,2007-06-24,"chatham",50,10,26890,1,40,8
2007,2007-06-24,"durham",21,1,26890,20,20,8
2007,2007-06-24,"durham",25,5,26890,0,NA,8
2007,2007-06-24,"durham",26,6,26890,0,NA,8
2007,2007-06-26,"orange",10,9,26890,1,1,8
2007,2007-07-02,"durham",28,8,26890,0,NA,8
2007,2007-07-15,"chatham",53,13,26890,16,40,8
2008,2008-05-18,"chatham",44,4,26890,2,40,9
2008,2008-05-18,"orange",7,6,26890,1,1,9
2008,2008-05-20,"chatham",51,11,26890,0,NA,9
2008,2008-05-21,"orange",8,7,26890,7,1,9
2008,2008-05-25,"chatham",41,1,26890,8,40,9
2008,2008-05-25,"chatham",42,2,26890,0,NA,9
2008,2008-05-25,"chatham",53,13,26890,10,40,9
2008,2008-05-25,"durham",22,2,26890,0,NA,9
2008,2008-05-25,"orange",5,4,26890,4,1,9
2008,2008-05-26,"chatham",54,14,26890,7,40,9
2008,2008-06-01,"chatham",46,6,26890,3,40,9
2008,2008-06-01,"chatham",50,10,26890,1,40,9
2008,2008-06-01,"durham",21,1,26890,0,NA,9
2008,2008-06-01,"durham",23,3,26890,7,20,9
2008,2008-06-01,"durham",24,4,26890,4,20,9
2008,2008-06-01,"orange",4,3,26890,2,1,9
2008,2008-06-01,"orange",9,8,26890,0,NA,9
2008,2008-06-01,"orange",11,10,26890,4,1,9
2008,2008-06-03,"durham",27,7,26890,0,NA,9
2008,2008-06-05,"chatham",49,9,26890,0,NA,9
2008,2008-06-06,"orange",3,2,26890,0,NA,9
2008,2008-06-07,"orange",6,5,26890,1,1,9
2008,2008-06-07,"orange",12,11,26890,0,NA,9
2008,2008-06-08,"chatham",45,5,26890,0,NA,9
2008,2008-06-08,"chatham",47,7,26890,1,40,9
2008,2008-06-08,"durham",25,5,26890,0,NA,9
2008,2008-06-08,"durham",26,6,26890,6,20,9
2008,2008-06-08,"orange",13,12,26890,3,1,9
2008,2008-06-15,"chatham",43,3,26890,0,NA,9
2008,2008-06-15,"chatham",48,8,26890,2,40,9
2008,2008-06-15,"chatham",52,12,26890,0,NA,9
2008,2008-06-15,"orange",2,1,26890,6,1,9
2008,2008-06-24,"durham",28,8,26890,1,20,9
2008,2008-06-27,"orange",10,9,26890,5,1,9
2009,2009-05-17,"chatham",48,8,26890,2,40,10
2009,2009-05-24,"orange",5,4,26890,0,NA,10
2009,2009-05-25,"chatham",51,11,26890,0,NA,10
2009,2009-05-25,"chatham",54,14,26890,1,40,10
2009,2009-05-29,"orange",9,8,26890,1,1,10
2009,2009-05-30,"durham",24,4,26890,4,20,10
2009,2009-05-31,"chatham",42,2,26890,0,NA,10
2009,2009-05-31,"chatham",52,12,26890,1,40,10
2009,2009-05-31,"durham",21,1,26890,0,NA,10
2009,2009-05-31,"durham",22,2,26890,0,NA,10
2009,2009-05-31,"orange",8,7,26890,4,1,10
2009,2009-06-01,"orange",4,3,26890,15,1,10
2009,2009-06-03,"orange",3,2,26890,3,1,10
2009,2009-06-07,"chatham",44,4,26890,1,40,10
2009,2009-06-07,"orange",2,1,26890,8,1,10
2009,2009-06-07,"orange",7,6,26890,0,NA,10
2009,2009-06-07,"orange",11,10,26890,2,1,10
2009,2009-06-11,"chatham",41,1,26890,0,NA,10
2009,2009-06-13,"orange",12,11,26890,0,NA,10
2009,2009-06-14,"chatham",45,5,26890,29,40,10
2009,2009-06-14,"durham",25,5,26890,4,20,10
2009,2009-06-14,"durham",26,6,26890,23,20,10
2009,2009-06-20,"chatham",53,13,26890,16,40,10
2009,2009-06-20,"orange",6,5,26890,10,1,10
2009,2009-06-21,"chatham",43,3,26890,120,40,10
2009,2009-06-21,"chatham",46,6,26890,0,NA,10
2009,2009-06-21,"chatham",50,10,26890,15,40,10
2009,2009-06-21,"durham",23,3,26890,0,NA,10
2009,2009-06-27,"chatham",49,9,26890,0,NA,10
