"year","county","route","route_num","count"
2025,"durham","drhm-02",2,0
2002,"durham","drhm-03",3,10
2003,"durham","drhm-03",3,12
2004,"durham","drhm-03",3,14
2005,"durham","drhm-03",3,4
2006,"durham","drhm-03",3,10
2007,"durham","drhm-03",3,15
2008,"durham","drhm-03",3,7
2009,"durham","drhm-03",3,0
2010,"durham","drhm-03",3,14
2011,"durham","drhm-03",3,14
2012,"durham","drhm-03",3,5
2013,"durham","drhm-03",3,0
2014,"durham","drhm-03",3,3
2015,"durham","drhm-03",3,1
2016,"durham","drhm-03",3,0
2017,"durham","drhm-03",3,1
2018,"durham","drhm-03",3,1
2019,"durham","drhm-03",3,4
2020,"durham","drhm-03",3,3
2021,"durham","drhm-03",3,0
2022,"durham","drhm-03",3,0
2023,"durham","drhm-03",3,1
2024,"durham","drhm-03",3,0
2025,"durham","drhm-03",3,1
2002,"durham","drhm-04",4,9
2003,"durham","drhm-04",4,5
2004,"durham","drhm-04",4,0
2005,"durham","drhm-04",4,2
2006,"durham","drhm-04",4,0
2007,"durham","drhm-04",4,2
2008,"durham","drhm-04",4,4
2009,"durham","drhm-04",4,4
2010,"durham","drhm-04",4,2
2011,"durham","drhm-04",4,2
2012,"durham","drhm-04",4,0
2013,"durham","drhm-04",4,0
2014,"durham","drhm-04",4,0
2018,"durham","drhm-04",4,0
2019,"durham","drhm-04",4,4
2020,"durham","drhm-04",4,3
2021,"durham","drhm-04",4,2
2022,"durham","drhm-04",4,11
2023,"durham","drhm-04",4,3
2024,"durham","drhm-04",4,0
2025,"durham","drhm-04",4,4
2002,"durham","drhm-05",5,6
2003,"durham","drhm-05",5,7
2004,"durham","drhm-05",5,2
2005,"durham","drhm-05",5,2
2006,"durham","drhm-05",5,0
2007,"durham","drhm-05",5,0
2008,"durham","drhm-05",5,0
2009,"durham","drhm-05",5,4
2010,"durham","drhm-05",5,1
2011,"durham","drhm-05",5,2
2012,"durham","drhm-05",5,8
2013,"durham","drhm-05",5,4
2014,"durham","drhm-05",5,0
2015,"durham","drhm-05",5,1
2016,"durham","drhm-05",5,0
2017,"durham","drhm-05",5,0
2018,"durham","drhm-05",5,0
2019,"durham","drhm-05",5,0
2020,"durham","drhm-05",5,0
2021,"durham","drhm-05",5,5
2022,"durham","drhm-05",5,4
2023,"durham","drhm-05",5,1
2024,"durham","drhm-05",5,6
2025,"durham","drhm-05",5,6
2002,"durham","drhm-06",6,4
2003,"durham","drhm-06",6,0
2004,"durham","drhm-06",6,5
2005,"durham","drhm-06",6,5
2006,"durham","drhm-06",6,3
2007,"durham","drhm-06",6,0
2008,"durham","drhm-06",6,6
2009,"durham","drhm-06",6,23
2010,"durham","drhm-06",6,5
2011,"durham","drhm-06",6,2
2012,"durham","drhm-06",6,26
2013,"durham","drhm-06",6,15
2014,"durham","drhm-06",6,0
2015,"durham","drhm-06",6,12
2016,"durham","drhm-06",6,28
2017,"durham","drhm-06",6,9
2018,"durham","drhm-06",6,3
2019,"durham","drhm-06",6,0
2020,"durham","drhm-06",6,1
2021,"durham","drhm-06",6,5
2022,"durham","drhm-06",6,1
2023,"durham","drhm-06",6,1
2024,"durham","drhm-06",6,2
2025,"durham","drhm-06",6,1
2002,"durham","drhm-07",7,1
2003,"durham","drhm-07",7,0
2004,"durham","drhm-07",7,1
2005,"durham","drhm-07",7,5
2006,"durham","drhm-07",7,5
2007,"durham","drhm-07",7,0
2008,"durham","drhm-07",7,0
2009,"durham","drhm-07",7,0
2010,"durham","drhm-07",7,0
2011,"durham","drhm-07",7,1
2012,"durham","drhm-07",7,25
2013,"durham","drhm-07",7,4
2015,"durham","drhm-07",7,0
2016,"durham","drhm-07",7,1
2017,"durham","drhm-07",7,0
2018,"durham","drhm-07",7,1
2019,"durham","drhm-07",7,0
2020,"durham","drhm-07",7,1
2021,"durham","drhm-07",7,5
2022,"durham","drhm-07",7,3
2023,"durham","drhm-07",7,0
2024,"durham","drhm-07",7,4
2025,"durham","drhm-07",7,9
2002,"durham","drhm-08",8,14
2003,"durham","drhm-08",8,1
2004,"durham","drhm-08",8,4
2005,"durham","drhm-08",8,13
2006,"durham","drhm-08",8,4
2007,"durham","drhm-08",8,0
2008,"durham","drhm-08",8,1
2011,"durham","drhm-08",8,0
2012,"durham","drhm-08",8,2
2013,"durham","drhm-08",8,0
2014,"durham","drhm-08",8,2
2015,"durham","drhm-08",8,17
2016,"durham","drhm-08",8,1
2017,"durham","drhm-08",8,1
2018,"durham","drhm-08",8,3
2019,"durham","drhm-08",8,0
2020,"durham","drhm-08",8,0
2021,"durham","drhm-08",8,2
2022,"durham","drhm-08",8,0
2023,"durham","drhm-08",8,0
2024,"durham","drhm-08",8,0
