ROWNUM	COUNTY	YEAR	ROUTE	DATE1	DATE2	HABHM	HABP	HABO	HABB	HABCH	VEHICLES	DCCO	GBHE	GRHE	BLVU	TUVU	CAGO	WODU	MALL	OSPR	SSHA	COHA	acsp	RSHA	BWHA	RTHA	WITU	NOBO	KILL	ROPI	MODO	YBCU	EASO	GHOW	BAOW	CONI	CWWI	WPWI	CHSW	RTHU	BEKI	RHWO	RBWO	DOWO	HAWO	NOFL	PIWO	EAWP	ACFL	WIFL	EAPH	GCFL	EAKI	LOSH	WEVI	YTVI	BHVI	WAVI	REVI	BLJA	AMCR	FICR	PUMA	TRSW	NRWS	CLSW	BARS	CACH	TUTI	WBNU	BHNU	CARW	HOWR	BGGN	EABL	WOTH	AMRO	GRCA	NOMO	BRTH	EUST	CEDW	NOPA	YEWA	YTWA	PIWA	PRAW	BAWW	AMRE	PROW	OVEN	LOWA	KEWA	COYE	HOWA	YBCH	SUTA	SCTA	EATO	CHSP	FISP	GRSP	SOSP	NOCA	BLGR	INBU	DICK	RWBL	EAME	COGR	BHCO	OROR	BAOR	HOFI	AMGO	HOSP	SPX1	SPX2	TOTALRT
21	ORANGE	2000	7	5/25	25	X	X	X	X	X	X	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	2	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	7	0	0	0	0	3	0	1	0	0	0	16	4	25	0	0	0	0	0	0	6	18	0	2	10	0	1	10	6	9	0	14	3	7	0	0	0	0	5	4	0	0	0	1	0	0	4	0	1	1	1	4	19	1	0	0	17	0	25	0	8	5	12	0	2	0	4	0	2	0	0	284
22	ORANGE	2000	8	5/27	27	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	14	3	13	0	0	0	0	0	0	4	14	1	0	7	0	1	5	4	10	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	7	3	0	0	12	1	5	0	0	1	6	1	0	0	2	0	0	0	0	147
23	ORANGE	2000	9	6/8	39	X	X	X	X	X	X	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	3	2	1	0	1	0	0	0	1	0	0	0	9	0	18	4	0	0	0	0	0	12	7	3	2	10	0	2	2	6	0	0	4	0	0	0	0	0	0	12	0	0	0	0	6	0	1	1	1	1	0	1	4	0	0	0	0	10	0	4	0	0	2	7	0	0	0	0	3	0	0	0	154
24	ORANGE	2000	10	6/3	34	X	X	X	X	X	X	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	21	0	0	0	0	0	0	5	3	0	0	0	6	4	0	0	0	3	0	0	1	1	0	0	0	0	0	0	14	5	26	2	0	0	0	0	3	10	20	3	2	19	0	8	10	6	4	0	10	3	7	0	1	0	0	11	0	0	0	0	2	0	0	2	0	1	3	1	7	12	2	2	0	22	6	20	0	2	2	15	2	0	0	4	2	0	0	0	319
25	ORANGE	2000	11	6/18	49	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	26	1	0	0	0	0	0	0	3	1	0	0	8	1	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	8	42	0	0	0	0	0	3	14	8	7	2	9	0	0	14	18	4	0	11	0	1	0	0	0	0	11	1	0	0	0	4	0	0	0	0	1	0	0	4	1	0	0	0	47	6	6	0	3	1	1	0	0	0	0	14	0	0	0	291
26	ORANGE	2000	12	5/28	28	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	18	0	0	0	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	8	2	10	4	0	0	0	0	6	3	18	3	0	29	7	2	11	6	21	5	6	4	12	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	5	0	9	4	0	0	1	40	2	6	0	0	1	11	6	1	0	6	0	0	0	0	299
27	ORANGE	2000	TOTALSP	X	397	X	X	X	X	X	X	0	4	3	7	11	143	0	10	0	0	0	0	4	0	2	1	8	16	2	183	4	0	0	1	0	0	5	46	2	0	0	55	11	0	0	3	36	3	0	7	9	9	0	3	2	0	1	107	35	304	10	0	0	0	0	35	72	155	20	8	133	7	37	102	74	68	11	78	23	73	0	2	0	1	79	9	0	0	0	16	0	1	18	1	13	17	3	52	94	14	8	1	268	30	133	0	23	34	111	23	5	0	28	66	13	0	0	3003
28	ORANGE	2000	FREQSP	X	12	X	X	X	X	X	X	0	3	3	4	2	3	0	2	0	0	0	0	3	0	2	1	5	6	1	12	3	0	0	1	0	0	1	10	2	0	0	12	5	0	0	1	11	3	0	5	6	3	0	3	2	0	1	11	9	12	3	0	0	0	0	6	11	12	8	4	12	1	10	12	12	10	3	12	8	11	0	2	0	1	12	4	0	0	0	7	0	1	8	1	8	9	3	12	11	8	3	1	12	9	12	0	7	11	12	8	4	0	6	9	4	0	0	12
29	ORANGE	2001	1	6/3	34	X	X	X	X	X	X	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	3	5	35	0	0	0	0	0	9	4	10	1	0	4	0	3	17	2	2	0	5	3	12	0	1	0	0	4	1	0	0	0	1	0	0	2	0	0	0	1	2	2	3	3	0	7	2	7	0	0	5	11	6	0	0	0	6	0	0	0	243
30	ORANGE	2001	2	6/3	34	X	X	X	X	X	X	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0	1	0	0	0	6	0	0	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	12	6	25	0	0	0	0	0	1	0	8	0	0	4	0	0	3	5	2	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	32	3	13	0	1	3	3	0	0	0	0	3	0	0	0	179
31	ORANGE	2001	3	5/23	54	X	X	X	X	X	X	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	13	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	7	0	0	0	1	1	0	0	0	0	0	8	2	18	0	0	0	0	0	0	3	9	0	0	13	0	4	14	6	19	0	10	1	22	0	0	0	0	5	1	0	0	0	4	0	0	1	0	0	2	0	6	9	5	0	0	18	2	8	0	2	4	11	5	1	0	4	7	2	0	0	266
32	ORANGE	2001	4	6/10	41	X	X	X	X	X	X	0	0	1	0	0	25	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	3	0	0	0	4	2	0	0	0	1	0	0	1	1	0	0	0	1	0	0	4	3	30	0	0	0	0	0	1	10	14	1	4	12	2	4	0	0	3	2	6	2	6	0	3	0	1	4	0	0	0	0	0	0	0	2	1	3	2	1	5	2	2	0	0	33	1	7	0	0	0	6	0	0	0	4	4	0	0	0	231
33	ORANGE	2001	5	6/9	40	X	X	X	X	X	X	0	0	0	0	0	52	0	5	0	0	0	0	1	0	2	0	0	1	0	34	1	0	0	0	0	0	1	3	0	1	0	8	0	0	0	0	3	0	0	4	1	1	3	2	1	0	1	11	5	42	1	0	0	1	0	36	2	13	0	0	11	0	8	10	7	3	0	12	2	18	0	0	0	0	10	2	0	0	0	2	0	0	5	1	5	1	3	6	13	2	3	0	26	12	16	1	5	3	13	7	0	0	2	8	2	0	0	463
34	ORANGE	2001	6	6/3	34	X	X	X	X	X	X	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	9	3	29	2	0	0	0	0	0	14	20	2	6	4	0	10	12	13	0	3	5	1	2	0	0	0	0	10	1	0	0	0	3	0	0	2	0	2	2	0	6	16	0	0	0	46	1	14	0	0	0	0	2	0	0	0	14	0	0	0	289
35	ORANGE	2001	7	5/23	23	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	10	1	0	0	0	0	0	0	9	0	0	1	4	0	0	0	0	10	0	0	0	2	3	0	1	0	0	1	10	10	25	0	0	0	0	0	0	7	14	0	0	11	0	4	4	7	5	0	7	1	2	0	0	0	0	10	4	0	0	0	6	0	0	5	0	0	2	2	5	8	1	0	0	17	5	27	0	2	6	13	0	2	0	1	3	1	0	0	272
36	ORANGE	2001	8	5/27	27	X	X	X	X	X	X	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	14	1	0	0	0	0	0	0	2	0	0	0	4	1	0	0	0	4	0	0	0	2	1	0	0	0	0	0	5	2	28	0	0	0	0	0	0	0	18	2	0	9	0	1	3	8	5	1	3	2	7	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	8	1	0	0	18	0	5	0	0	5	1	0	0	0	2	6	2	0	0	178
37	ORANGE	2001	9	6/19	40	X	X	X	X	X	X	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	3	0	0	1	0	0	0	5	0	0	0	9	6	0	3	3	5	4	0	3	2	1	0	0	0	0	0	12	10	9	0	0	0	0	0	0	8	11	4	5	9	0	5	8	9	5	0	9	1	2	2	2	0	0	7	1	0	0	0	5	0	1	0	1	3	3	1	5	6	0	0	0	21	2	9	0	0	5	12	3	0	0	4	10	0	0	0	273
38	ORANGE	2001	10	6/10	41	X	X	X	X	X	X	0	1	0	0	0	64	0	0	0	0	0	0	1	0	2	0	0	1	0	26	0	0	0	1	0	0	2	3	0	0	0	9	3	1	0	0	2	0	0	1	1	3	0	0	1	0	0	16	4	29	4	0	0	0	0	4	7	18	2	0	24	0	7	15	7	4	0	10	2	1	6	1	0	0	15	0	0	0	0	0	0	0	1	0	1	3	0	6	11	0	0	0	30	2	19	0	1	2	7	4	0	0	10	5	0	0	0	400
39	ORANGE	2001	11	6/24	55	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	12	1	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	4	0	0	1	0	1	0	0	0	0	0	15	9	31	0	0	0	11	0	7	11	14	4	4	16	0	4	8	14	0	0	11	0	4	0	0	0	2	4	1	0	0	0	3	0	0	0	0	1	1	1	7	2	0	0	0	29	1	8	0	0	1	0	0	0	0	0	12	0	0	0	264
40	ORANGE	2001	12	6/3	34	X	X	X	X	X	X	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	15	0	0	0	5	2	0	0	0	2	0	0	1	3	0	0	0	0	0	0	2	2	30	0	0	0	0	0	6	7	16	2	3	30	3	0	7	12	18	6	10	1	25	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	1	0	10	9	0	1	0	31	6	2	0	0	2	15	1	1	0	3	3	0	0	0	312
41	ORANGE	2001	TOTALSP	X	457	X	X	X	X	X	X	0	1	2	4	4	172	0	7	0	0	0	0	6	0	5	1	8	5	0	180	8	0	0	3	0	0	3	65	0	1	1	60	16	1	3	3	41	5	0	13	18	11	3	3	4	0	2	107	61	331	7	0	0	12	0	64	73	165	18	22	147	5	50	101	90	66	12	94	16	109	8	7	0	3	77	11	0	0	0	26	0	1	19	3	15	17	9	60	90	16	8	0	308	37	135	1	11	36	92	28	4	0	30	81	7	0	0	3370
42	ORANGE	2001	FREQSP	X	12	X	X	X	X	X	X	0	1	2	2	3	7	0	2	0	0	0	0	4	0	3	1	5	5	0	12	6	0	0	3	0	0	2	12	0	1	1	12	7	1	1	1	11	2	0	8	11	7	1	2	4	0	2	12	12	12	3	0	0	2	0	7	10	12	8	5	12	2	10	11	11	10	4	12	10	12	2	4	0	2	11	7	0	0	0	8	0	1	8	3	6	9	6	12	12	7	4	0	12	11	12	1	5	10	10	7	3	0	8	12	4	0	0	12
43	ORANGE	2002	1	6/02	33	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	21	1	0	0	0	0	0	0	9	0	1	0	3	1	0	0	0	6	0	0	0	0	0	0	0	1	0	0	3	3	28	0	0	0	0	0	8	2	10	0	0	6	0	3	6	1	3	0	11	2	18	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	4	2	1	0	12	6	8	0	2	7	18	1	3	0	0	13	1	0	0	231
44	ORANGE	2002	2	6/2	33	X	X	X	X	X	X	0	0	0	20	8	0	0	0	0	0	0	0	0	0	0	2	2	0	0	27	0	0	0	0	0	0	3	6	2	0	0	6	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	11	1	22	0	0	0	0	0	0	3	11	0	0	8	0	0	3	9	8	1	3	0	10	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	1	12	1	2	0	12	4	15	0	0	2	6	0	1	0	4	5	0	0	0	242
45	ORANGE	2002	3	6/9	40	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	11	0	0	0	0	0	0	0	7	0	0	0	10	2	0	0	0	5	0	0	1	2	0	0	0	2	0	0	8	9	31	0	0	0	0	0	0	0	5	2	0	11	0	5	13	4	17	0	11	2	3	0	0	0	0	2	1	0	0	0	5	0	0	3	1	2	1	0	10	12	2	3	1	13	1	9	0	1	2	12	2	1	0	4	9	9	0	0	272
46	ORANGE	2002	4	6/9	40	X	X	X	X	X	X	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	5	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	8	4	26	1	0	0	0	0	0	5	5	1	1	13	1	3	2	1	1	1	2	2	0	0	0	0	0	5	1	0	0	0	0	0	0	1	1	0	1	0	7	4	3	0	0	29	1	8	0	3	0	1	5	0	0	2	9	0	0	0	184
47	ORANGE	2002	5	6/15	46	X	X	X	X	X	X	0	0	1	0	2	51	0	2	0	0	0	0	0	0	0	0	2	2	0	44	0	0	0	0	0	0	0	9	0	0	0	6	5	1	1	1	1	0	0	0	0	0	0	1	0	0	0	7	11	25	0	0	0	0	0	6	6	8	0	0	12	0	4	15	5	2	0	16	2	4	0	0	0	0	7	0	0	0	0	2	0	0	3	0	2	2	3	6	15	3	0	0	21	5	12	0	6	4	12	4	0	0	5	10	1	0	0	375
48	ORANGE	2002	6	6/9	40	X	X	X	X	X	X	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	3	41	0	0	0	0	0	0	15	27	0	0	5	0	2	6	4	3	0	1	0	1	0	0	0	0	12	0	0	0	0	1	0	0	1	0	2	0	0	7	8	0	0	0	35	0	2	0	0	1	1	1	0	0	4	6	0	0	0	237
49	ORANGE	2002	7	5/22	22	X	X	X	X	X	X	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	4	0	0	0	1	0	0	2	0	0	1	12	1	23	0	0	0	0	0	0	4	17	0	0	15	0	1	12	7	10	0	21	4	15	4	0	0	0	5	5	0	0	0	1	0	0	6	0	6	7	0	5	11	9	0	0	24	2	6	0	5	4	10	2	2	0	1	8	1	0	0	304
