"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2004,2004-06-13,"chatham",50,10,20762,22,40,5
2004,2004-06-13,"chatham",52,12,20762,31,40,5
2004,2004-06-13,"durham",21,1,20762,31,20,5
2004,2004-06-15,"durham",27,7,20762,9,20,5
2004,2004-06-19,"chatham",47,7,20762,17,40,5
2004,2004-06-20,"chatham",46,6,20762,36,40,5
2004,2004-06-20,"durham",23,3,20762,15,20,5
2004,2004-06-24,"orange",10,9,20762,6,1,5
2004,2004-06-27,"chatham",48,8,20762,54,40,5
2004,2004-06-27,"chatham",53,13,20762,36,40,5
2005,2005-05-08,"orange",3,2,20762,16,1,6
2005,2005-05-15,"chatham",43,3,20762,16,40,6
2005,2005-05-15,"orange",9,8,20762,15,1,6
2005,2005-05-22,"chatham",42,2,20762,15,40,6
2005,2005-05-23,"orange",2,1,20762,31,1,6
2005,2005-05-23,"orange",8,7,20762,13,1,6
2005,2005-05-29,"durham",22,2,20762,34,20,6
2005,2005-05-29,"orange",5,4,20762,35,1,6
2005,2005-05-30,"chatham",44,4,20762,54,40,6
2005,2005-05-30,"chatham",54,14,20762,22,40,6
2005,2005-06-01,"chatham",46,6,20762,54,40,6
2005,2005-06-01,"chatham",51,11,20762,34,40,6
2005,2005-06-07,"orange",10,9,20762,22,1,6
2005,2005-06-08,"durham",24,4,20762,2,20,6
2005,2005-06-11,"orange",6,5,20762,23,1,6
2005,2005-06-11,"orange",13,12,20762,16,1,6
2005,2005-06-12,"chatham",52,12,20762,38,40,6
2005,2005-06-12,"orange",11,10,20762,24,1,6
2005,2005-06-13,"chatham",53,13,20762,30,40,6
2005,2005-06-13,"durham",25,5,20762,9,20,6
2005,2005-06-13,"durham",27,7,20762,10,20,6
2005,2005-06-19,"chatham",41,1,20762,23,40,6
2005,2005-06-19,"chatham",49,9,20762,30,40,6
2005,2005-06-19,"chatham",50,10,20762,26,40,6
2005,2005-06-19,"durham",21,1,20762,38,20,6
2005,2005-06-19,"durham",26,6,20762,6,20,6
2005,2005-06-21,"orange",7,6,20762,14,1,6
2005,2005-06-23,"orange",4,3,20762,26,1,6
2005,2005-06-25,"durham",28,8,20762,27,20,6
2005,2005-06-26,"chatham",45,5,20762,36,40,6
2005,2005-06-26,"chatham",48,8,20762,98,40,6
2005,2005-06-26,"durham",23,3,20762,21,20,6
2005,2005-06-26,"orange",12,11,20762,27,1,6
2005,2005-07-09,"chatham",47,7,20762,66,40,6
2006,2006-05-17,"chatham",51,11,20762,18,40,7
2006,2006-05-21,"chatham",54,14,20762,17,40,7
2006,2006-05-21,"orange",8,7,20762,22,1,7
2006,2006-05-21,"orange",9,8,20762,29,1,7
2006,2006-05-21,"orange",13,12,20762,8,1,7
2006,2006-05-27,"orange",5,4,20762,25,1,7
2006,2006-05-28,"durham",23,3,20762,22,20,7
2006,2006-05-28,"orange",3,2,20762,32,1,7
2006,2006-05-28,"orange",7,6,20762,14,1,7
2006,2006-06-10,"chatham",45,5,20762,48,40,7
2006,2006-06-10,"orange",2,1,20762,29,1,7
2006,2006-06-11,"chatham",46,6,20762,38,40,7
2006,2006-06-13,"chatham",42,2,20762,19,40,7
2006,2006-06-15,"durham",27,7,20762,19,20,7
2006,2006-06-16,"orange",10,9,20762,29,1,7
2006,2006-06-17,"durham",21,1,20762,29,20,7
2006,2006-06-17,"durham",22,2,20762,20,20,7
2006,2006-06-17,"durham",24,4,20762,9,20,7
2006,2006-06-17,"durham",25,5,20762,8,20,7
2006,2006-06-17,"durham",28,8,20762,24,20,7
2006,2006-06-18,"chatham",41,1,20762,47,40,7
2006,2006-06-18,"chatham",43,3,20762,11,40,7
2006,2006-06-18,"chatham",44,4,20762,43,40,7
2006,2006-06-18,"chatham",48,8,20762,32,40,7
2006,2006-06-18,"chatham",52,12,20762,34,40,7
2006,2006-06-18,"durham",26,6,20762,11,20,7
2006,2006-06-18,"orange",11,10,20762,27,1,7
2006,2006-06-23,"orange",4,3,20762,23,1,7
2006,2006-06-24,"chatham",47,7,20762,20,40,7
2006,2006-06-24,"chatham",49,9,20762,26,40,7
2006,2006-06-24,"chatham",50,10,20762,17,40,7
2006,2006-06-24,"chatham",53,13,20762,28,40,7
2006,2006-06-24,"orange",6,5,20762,24,1,7
2006,2006-06-26,"orange",12,11,20762,23,1,7
2007,2007-05-20,"chatham",42,2,20762,34,40,8
2007,2007-05-20,"orange",9,8,20762,40,1,8
2007,2007-05-21,"orange",8,7,20762,18,1,8
2007,2007-05-24,"chatham",51,11,20762,37,40,8
2007,2007-05-26,"orange",2,1,20762,20,1,8
2007,2007-05-27,"durham",23,3,20762,27,20,8
2007,2007-05-27,"orange",3,2,20762,33,1,8
2007,2007-05-27,"orange",7,6,20762,26,1,8
2007,2007-05-28,"chatham",44,4,20762,33,40,8
2007,2007-05-28,"durham",22,2,20762,18,20,8
2007,2007-05-28,"orange",5,4,20762,27,1,8
